,Label,String,clean_text,encoded_label
20,negative,"ini mungkin knp ada yg koar2 utk childfree yah hehehe. at least yg childfree ini sadar mungkin ga memiliki kemampuan parenting yg baik. jd ga cuma modal punya anak, tp anaknya ga keurus dan malah tumbuh jd trashy humans. RT @AREAJULID: Dis! Speechles sama kelakuannya",kenapa yang koar2 untuk childfree yah hehehe at least yang childfree sadar tidak memiliki kemampuan parenting yang jadi tidak modal anak tetapi anaknya tidak keurus tumbuh jadi trashy humans rt areajulid dis speechles kelakuannya,0
21,positive,Jadi ibu itu berat banget. Pantes ada yang milih childfree.,berat sekali pantes pilih childfree,1
22,positive,Cara Kei Savourie Tanggapi Komentar Netizen soal Childfree,kei savourie tanggapi komentar netizen childfree,1
23,positive,"Sy sepakat childfree, bg yg memang pny prinsip tak merugikan lingkungan krn prinsip di anut. Tp sy lebih menganjurkan u KB, bg yg ingin pny anak kandung bs konsul dgn dr. Indonesia, kebanyakan anak terlantar, mending yg childfree adop sj anak terlantar yg dipelihara negara. RT @farid_wajdi7positive: Bagi yg bebas nilai; cildfree tanpa anak atau bebas anak adalah sebuah keputusan atau pilihan hidup untuk tidak memiliki anak, baik itu anak kandung, anak tiri, ataupun anak angkat.",saya sepakat childfree bagi yang punya prinsip merugikan lingkungan karena prinsip anut tetapi saya menganjurkan u kb bagi yang punya anak kandung bisa konsul dengan dari indonesia kebanyakan anak terlantar mending yang childfree adop sj anak terlantar yang dipelihara negara rt farid_wajdi7positive yang bebas nilai cildfree anak bebas anak keputusan pilihan hidup memiliki anak anak kandung anak tiri anak angkat,1
24,negative,kalo kepintaran itu nurun dari ibu terus cewe-cewe pinter pada milih childfree brati yg tersisa adalah manusia manusia under average gtu? 🥲,kalau kepintaran nurun cewek cewek pintar pilih childfree brati yang tersisa manusia manusia under average begitu,0
25,negative,"meong: ""apa itu childfree, aku akan mendiduk anakku dengan baik"". RT @noturdrugs: "" sederhana, tp ga semua kucing bisa """,meong childfree mendiduk anakku rt noturdrugs sederhana tetapi tidak kucing,0
26,negative,"Gitasav bener, childfree itu bisa jadi pilihan bijak jg. RT @cania_citta: Tiga remaja berusia negative4 thn, DA, RA, & AAB ditangkap atas tindakan pembacokan ARSS yg jg berusia negative4 thn hingga tewas di Sukabumi, Jabar. Motifnya diduga krn perlaku tdk terima dituduh melakukan vandalisme gedung sekolah oleh korban. Aksi keji tsb disiarkan live lewat IG pelaku😢",gitasav benar childfree pilihan bijak juga rt cania_citta remaja berusia negative4 tahun da ra aab ditangkap tindakan pembacokan arss yang juga berusia negative4 tahun tewas sukabumi jabar motifnya diduga karena perlaku tidak terima dituduh vandalisme gedung sekolah korban aksi keji tersebut disiarkan live ig pelaku,0
27,positive,VIDEO: Hal-hal yang Bikin Pasangan Memilih Childfree,video bikin pasangan memilih childfree,1
28,positive,"ketika lu yg udah mantep gamau nikah dan childfree, tbtb terketuk hati nya entah drimana kepengen nikah, punya anak, dan hidup bahagia sm keluarga baru lu 🥲",kamu yang sudah mantap tidak mau nikah childfree tbtb terketuk hati nya drimana ingin nikah anak hidup bahagia sama keluarga kamu,1
29,negative,"Lebaran nanti yang nanya ""kapan hamil, terlalu santai nih, childfree ya?"" Anak lu ga bakal aku kasih duit, ga aku bukain plester kuenya dan toples roti aku isi kucur",lebaran tanya hamil santai nih childfree ya anak kamu tidak kasih duit tidak bukain plester kuenya toples roti isi kucur,0
30,negative,"Klo pada ga sanggup ngurus anak, mending childfree RT @txtdrimedia: bocah caperrr",kalau tidak sanggup urus anak mending childfree rt txtdrimedia bocah caperrr,0
31,negative,"Sepertinya childfree cocok diterapin di konoha ini, dr pd punya anak pada bego kan",childfree cocok diterapin konoha dari pada anak bodoh,0
32,negative,"Klo childfree sih gpp, tapi klo mau punya anak kaya lebih beresiko klo hamil di umur segini RT @Askrlfess: [askrl] gimana pendapat kalian tentang itu gais?",kalau childfree sih tidak apa-apa kalau anak kaya beresiko kalau hamil umur segini rt askrlfess askrl gimana pendapat gais,0
33,negative,"Bapak2 bloon kaga bisa ngedidik langsung lepas tangan dasar mending childfree aja lu RT @FaqihAlFikri2: (dia punya 2 hp) dan boom ternyata selama ini dia ngeclone wa bokapnya sendiri dan dipake buat chattan sama gue! Setelah ketahuan ngeclone wa bokapnya gue langsang dm bokapnya di IG, gue disini shock banget ternyata selama ini diboongin anakya dan bokapnya sendiri ngomong kaya gn",bapak2 bloon kaga ngedidik langsung lepas tangan dasar mending childfree saja kamu rt faqihalfikri2 2 hp boom ngeclone wa bokapnya dipakai chattan saya ketahuan ngeclone wa bokapnya saya langsang dm bokapnya ig saya shock sekali diboongin anaknya bokapnya bicara kaya gn,0
34,positive,"Cek Arti Kata Childfree, Gita Savitri Sebut Anti Penuaan Alami, Faktor Penyebab Memilih Childfree  lewat @tribunmaduracom",cek arti childfree gita savitri anti penuaan alami faktor penyebab memilih childfree tribunmaduracom,1
35,positive,"Istilah childfree sempat jadi perbincangan ketika seorang penulis dan pegiat media sosial, Gitasav mengungkapkan bahwa ia memutuskan untuk childfree.",istilah childfree perbincangan penulis pegiat media sosial gitasav memutuskan childfree,1
36,positive,Jadi pengen gini juga tapi tiba tiba keinget rencana mau childfree 🫠 RT @joyyulnim: Follow akun ini dari masih gadis skrg udah beranak negative😭 akun eskalokal ngga bisa di dm jadi izin disini yaaa min walau udah telat. Izin pake nama jinendra buat anakku karena sekarang anakku namanya jinendra dipanggilnya aji WKWKWKW MSH BAYIK TAPI KELAKUANNYA UDH KAYAK AJI BENERAN,pengen gini keinget rencana childfree rt joyyulnim follow akun gadis sekarang sudah beranak negative akun eskalokal tidak dm izin yaaa min sudah telat izin pakai nama jinendra anakku anakku namanya jinendra dipanggilnya aji wkwkwkw masih bayik kelakuannya sudah mirip aji benar,1
37,positive,Pengen childfree tapi gak dikasih.,pengen childfree tidak dikasih,1
38,negative,segitu banyaknyaa kasus pedofilia dsb hari gini dan masih ada aja yg heran knp ada yg mau childfree??? gue rasa mending otak lo dipake buat mikir dulu sih.,segitu banyaknyaa pedofilia dan sebagainya gini saja yang heran kenapa yang childfree saya mending otak kamu dipakai mikir sih,0
39,positive,"""Childfree"" dalam Sudut Pandang Feminis dan Kesehatan",childfree sudut pandang feminis kesehatan,1
40,positive,~`kamulah yang memang sudah tercipta hanyalah buatku tercinta bila kamu nanti peri mermaids bidadari cinderella permaisuri aquamarines istrimevvah lesbitch frenia cantik manis putih suci ajaibs aku mau punya anak dari kamu tersayang gak mau childfree lagi nanti kita ml ya sayang~,tercipta buatku tercinta peri mermaids bidadari cinderella permaisuri aquamarines istrimevvah lesbitch frenia cantik manis putih suci ajaibs anak tersayang tidak childfree ml ya sayang,1
41,negative,Kakashi masih bujang dan childfree = awet muda 🙈,kakashi bujang childfree awet muda,0
42,positive,~`kamulah yang memang sudah tercipta hanyalah buatku tercinta bila kamu nanti peri mermaids bidadari cinderella permaisuri aquamarines lesbitch frenia istrimevvah cantik manis putih suci ajaibs aku mau punya anak dari kamu tersayang gak mau childfree lagi nanti kita ml ya sayang~,tercipta buatku tercinta peri mermaids bidadari cinderella permaisuri aquamarines lesbitch frenia istrimevvah cantik manis putih suci ajaibs anak tersayang tidak childfree ml ya sayang,1
43,positive,"Jika ditarik ke belakang, pilihan untuk menjadi childfree sendiri sebenarnya telah dilakukan banyak orang sejak lama. Ada berbagai alasan yang membuat pasangan memilih childfree.",ditarik pilihan childfree orang alasan pasangan memilih childfree,1
44,positive,"Halo warga twitter, saya Jati R.A mahasiswi S-negative FISIPOL UGM 2positivenegative9. Saat ini saya sedang melakukan penelitian tugas akhir mengenai fenomena childfree di tengah-tengah konstruksi sistem keluarga tradisional di Indonesia.",halo warga twitter jati r a mahasiswi s negative fisipol ugm 2positivenegative9 penelitian tugas fenomena childfree konstruksi sistem keluarga tradisional indonesia,1
45,positive,Alasan mau childfree nya apa? Gw belum bisa jawab karna gak pernah kepikiran buat childfree suatu saat nanti RT @demtox: @moonareas mau ga kalo diajak berumah tangga tapi child free & cuma mau pelihara banyak kucing/anjing?,alasan childfree nya saya karena tidak kepikiran childfree rt demtox moonareas tidak kalau diajak berumah tangga child free pelihara kucing anjing,1
46,positive,"Childfree' memicu polemik. #SecretAtNewsroom akan mengupas tuntas topik ini, mulai dari dampak hingga sudut pandang orang yang menjalani pilihan itu. Saksikan pada Jumat (24/3), pukul negative9.positivepositive WIB, di YouTube CNNIndonesia dan !",childfree memicu polemik secretatnewsroom mengupas tuntas topik dampak sudut pandang orang menjalani pilihan saksikan jumat 24 3 negative9 positivepositive wib youtube cnnindonesia,1
47,positive,"kenapa sih pas gw memutuskan untuk childfree, malah ada bocil selucu ini di depan gw😭",sih pas saya memutuskan childfree bocil selucu saya,1
48,negative,"Itulah pentingnya childfree😌🙏🏻 RT @kegblgnunfaedh: Anak2 jaman sekarang attitude nya kebanyakan kagak ada yah, parah orang mau berdagang cari uang malah dihalangi",childfree rt kegblgnunfaedh anak2 jaman attitude nya kebanyakan tidak yah parah orang berdagang cari uang dihalangi,0
49,negative,"kucing tuh harusnya penganut childfree gasi, kasian liat anak anak kucing yang terlantar 😭",kucing tuh penganut childfree gasi kasihan liat anak anak kucing terlantar,0
50,negative,"Suka heran sama orang yg beropini ""Mending childfree daripada punya anak gedenya ky dia."" ""mending childfree daripada orang kaya lo tambah banyak."" Berarti anda mengakui bahwa anda tidak dapat memberi contoh baik ke anak?",suka heran orang yang beropini mending childfree anak gedenya ky mending childfree orang kaya kamu mengakui contoh anak,0
51,negative,"Kaka iparku baru lahiran. Wlu aku childfree tpi aku amaze liat mrka syg bgt ke anknya pdhl ank yg ga disengaja dan suaminya lg nganggur. Sumpah aku klu di posisi mrk bkl nangis"" meratapi hidup",kaka iparku lahiran wlu childfree tetapi amaze liat mrka sayang sangat anak padahal anak yang tidak disengaja suaminya lagi nganggur sumpah kalau posisi mereka bakal nangis meratapi hidup,0
52,negative,Dukung childfree dan tolak surrogacy demi terwujudnya #Depopulasi2positive5positive Indonesia sepi dengan depopulasi!,dukung childfree tolak surrogacy terwujudnya depopulasi2positive5positive indonesia sepi depopulasi,0
53,negative,ada ga ya cowo yang pengen childfree? please dm me dong butuh buat penelitianku😭🙏🏻 #childfree,tidak ya cowok pengen childfree please dm me butuh penelitianku childfree,0
54,negative,Padahal ga childfree tapi cantik bgt... RT @unmagnetism: hari ini w menemukan fakta bcl umurnya udah 4positive ajgg,tidak childfree cantik sangat rt unmagnetism w menemukan fakta bcl umurnya sudah 4positive ajgg,0
55,negative,"Bagi saya yang hidup di tengah keluarga besar yang terbiasa untuk memiliki anak banyak, memilih childfree sendiri merupakan sebuah solusi untuk mengurangi potensi terlantarnya anak di jalanan dan panti asuhan. #mubadalahid",hidup keluarga terbiasa memiliki anak memilih childfree solusi mengurangi potensi terlantarnya anak jalanan panti asuhan mubadalahid,0
56,negative,"Melihat Childfree Sebagai ""Pelindung"" HAM",childfree pelindung ham,0
57,negative,harusnya bung karno dulu childfree aja.,karno childfree saja,0
58,negative,"dulu pgnnya childfree, tapi pas liat ka misya & piyo punya anak 2 kok kaya seru dan gemas sisbdodnd pgn jd ibu😔 (tapi ga sekarang)",pgnnya childfree pas liat ka misya piyo anak 2 kaya seru gemas sisbdodnd ingin jadi tidak,0
59,negative,Proses kreatip pemikiran childfree pro-choice kawula muda RT @txtdrorangsusah: iklan layanan pil kb,proses kreatip pemikiran childfree pro choice kawula muda rt txtdrorangsusah iklan layanan pil kb,0
60,positive,ini twt buat dokumentasi si kqkwwokwk mungkin yg baca ini gwe pas udah jd emak² Heh markonah lo dl ga mau punya anakkk mau childfree cenah,twt dokumentasi si kqkwwokwk yang baca gwe pas sudah jadi emak² heh markonah kamu dulu tidak anakkk childfree cenah,1
61,positive,"Barangkali tadi pagi ketiduran karena tidur puasa itu ibadah wkwkwk Childfree, childless, childcare bersama Bu Nyai Dr. Naqiyah Mukhtar (Dekan FUAH UIN Saifudin Zuhri Purwokerto) dan Pak Yai Dr. Ahmaf Fathkhurrahman (founder )",barangkali pagi ketiduran tidur puasa ibadah wkwkwk childfree childless childcare bu nyai dari naqiyah mukhtar dekan fuah uin saifudin zuhri purwokerto yai dari ahmaf fathkhurrahman founder,1
62,negative,"Aku ga ngerti kenapa ketika ada orang yang memutuskan childfree, lalu ternyata suatu hari ia ditakdirkan memiliki anak atau ia berubah pikiran jadi ingin punya anak, ada sekelompok orang yang justru memaki-maki orang tersebut. Padahal kan ga ngerugiin mereka juga 🤷🏻‍♀️",tidak ngerti orang memutuskan childfree ditakdirkan memiliki anak berubah pikiran anak sekelompok orang memaki maki orang tidak ngerugiin,0
63,positive,"Udah ga banyak anak kecil soalnya generasiku banyak yg nunda nikah atau malah ga mau nikah (termasuk aku). Ada juga yg nikah tp milih buat childfree.. RT @convomfs: 🤍 ngerasa ndak gais, malam negative ramadhan kayak ga meriah banget seperti tahun tahun lali. Bocil bocil jarang yg ngumpul begadang sampe sahur buat ""koprekan"" bangunin orang sahur.. sekarang kalo ngumpul bnyakan pada main game..",sudah tidak anak generasiku yang nunda nikah tidak nikah yang nikah tetapi pilih childfree rt convomfs merasa tidak gais malam negative ramadhan mirip tidak meriah sekali lali bocil bocil jarang yang ngumpul begadang sampai sahur koprekan bangunin orang sahur kalau ngumpul bnyakan main game,1
64,negative,Nyebelin bgt bobi. Padahal aku childfree karena kita sama sama cowok 🤣,menyebalkan sangat bobi childfree cowok,0
65,positive,"selamat sore semuanya warga twitter, mohon bantuannya. disink saya sedang mencari narasumber pasangan yang menganut prinsip childfree untuk memenuhi kebutuhan tugas akhir (skripsi). identitas akan saya samarkan dan data yg diperoleh pure untuk tugas. #childfree",selamat sore warga twitter mohon bantuannya disink mencari narasumber pasangan menganut prinsip childfree memenuhi kebutuhan tugas skripsi identitas samarkan data yang diperoleh pure tugas childfree,1
66,negative,pengen nikah tapi childfree,pengen nikah childfree,0
67,positive,"memilih childfree is fine until lo liat sangyeon ngasuh ponakannya dan bersedia melakukan apapun untuk mereka nanti pas nikah mau ngurus anak bareng, pulang kerja bantu jagain and let u have ur own time. setiap minggu quality time jalan-jalan sekeluarga.  RT @transjakerta: gen Z gak niat buat nikah is fine until lo liat husband shaped jay yang bisa masak apa aja buat lo tanpa maksain lo harus masak sehari-sehari soalnya kalian bisa ngelakuin bareng",memilih childfree is fine until kamu liat sangyeon ngasuh ponakannya bersedia apapun pas nikah urus anak bareng pulang kerja bantu jagain and let u have ur own time minggu quality time jalan jalan sekeluarga rt transjakerta gen z tidak niat nikah is fine until kamu liat husband shaped jay masak saja kamu maksain kamu masak sehari sehari ngelakuin bareng,1
68,negative,"childfree aj lah drpd nyiptain sampah masyarakat RT @Heraloebss: Sikap bijak dalam mendidik anak merupakan sebuah prinsip pengasuhan yang harus dipahami oleh orangtua. Karena 2positive% karakter anak terbawa dari lahir, dan sebanyak 8positive% dari peran pengasuhan orang tua.",childfree saja daripada nyiptain sampah masyarakat rt heraloebss sikap bijak mendidik anak prinsip pengasuhan dipahami orangtua 2positive karakter anak terbawa lahir 8positive peran pengasuhan orang tua,0
69,positive,"Ide resep mie instan adalah hal teraneh sepanjang masa Lah kan mie instan didesain khusus biar org2 gak masak, kayak u kasih opsi anak sekali-pakai-buang buat orang2 childfree🙃",ide resep mie instan teraneh mie instan didesain khusus biar orang-orang tidak masak mirip u kasih opsi anak pakai buang orang2 childfree,1
70,positive,"Childfree' memicu polemik. #SecretAtNewsroom akan mengupas tuntas topik ini, mulai dari dampak hingga sudut pandang orang yang menjalani pilihan itu. Saksikan pada Jumat (24/3), pukul negative9.positivepositive WIB, di YouTube CNNIndonesia dan !",childfree memicu polemik secretatnewsroom mengupas tuntas topik dampak sudut pandang orang menjalani pilihan saksikan jumat 24 3 negative9 positivepositive wib youtube cnnindonesia,1
71,negative,"Wkwkwkwk krn isu2 childfree bbrp minggu terakhir lagi heboh2nya, muncullah webtoon ini yg baru rilis td malem 😃🙌 Warning: 2 episode di awal2 sebaiknya dibaca buat yg uda cukup umur + dibacanya pas uda buka aja guys 😭🙏",wkwkwkwk karena isu2 childfree beberapa minggu heboh2nya muncullah webtoon yang rilis tadu malam warning 2 episode awal2 dibaca yang sudah umur dibacanya pas sudah buka saja guys,0
72,negative,"Ya wajar si banyak yang mau childfree, dunia makin hari makin serem 🫠 RT @txtdrimedia: 😲",ya wajar si childfree dunia seram rt txtdrimedia,0
73,negative,"jujur pas baca pertanyaannya langsung ngebatin,,, apakah vibes lakban spt manusia berkarir yg sudah dihadapi pilihan mau punya momongan brp / childfree dengan pasangannya? 😭",jujur pas baca pertanyaannya langsung ngebatin vibes lakban seperti manusia berkarir yang dihadapi pilihan momongan berapa childfree pasangannya,0
74,negative,"Emang yg paling bener tuh semua pejabat childfree dah kalo gk kyk gini kebongkar trs RT @notyoursstpositivepositivepid: @PartaiSocmed Isi tiktok anaknya flexing semua, mana bangga banget lagi. apakah semuanya kw?",memang yang benar tuh pejabat childfree sudah kalau tidak seperti gini kebongkar terus rt notyoursstpositivepositivepid partaisocmed isi tiktok anaknya flexing bangga sekali kw,0
75,negative,Belum apa apa dah ditanya ‘ntr nunda atau langsung?’ Ya jwban pastinya ‘childfree’ huehehe,sudah nanti nunda langsung ya jawab pastinya childfree huehehe,0
76,negative,"tenang, bakal akeh kancane soale saiki akeh sing childfree RT @coffebit: Aku dan mutualku kelak mengisi kegiatan di panti jompo karena ditelantarkan anak.",tenang akeh kancane soalnya saiki akeh sing childfree rt coffebit mutualku kelak mengisi kegiatan panti jompo ditelantarkan anak,0
77,positive,~sholat puasa no heydonisme childfree licioust no ml agar penampilan tidak jelek tetap good looking estetiks biar dapet hadiah peri kecils tinkerbells bidadari surgawi oz edens cantik manis putih suci abadi cinderella fantasia mimpi dewi fortuna nirwana ajaibs mermaids kaya raya~,sholat puasa nomor heydonisme childfree licioust nomor ml penampilan jelek good looking estetiks biar dapat hadiah peri kecils tinkerbells bidadari surgawi oz edens cantik manis putih suci abadi cinderella fantasia mimpi dewi fortuna nirwana ajaibs mermaids kaya raya,1
78,positive,~sholat puasa no heydonisme childfree licioust no ml agar penampilan tidak jelek tetap good looking estetiks biar dapet hadiah peri kecils tinkerbells bidadari surgawi oz edens cantik manis putih suci abadi dewi fortuna fantasia mimpi cinderella nirwana ajaibs mermaids kaya raya~,sholat puasa nomor heydonisme childfree licioust nomor ml penampilan jelek good looking estetiks biar dapat hadiah peri kecils tinkerbells bidadari surgawi oz edens cantik manis putih suci abadi dewi fortuna fantasia mimpi cinderella nirwana ajaibs mermaids kaya raya,1
79,positive,maunya childfree di masa depan tp pengen ngew,maunya childfree tetapi pengen ngew,1
80,positive,~sholat puasa no heydonisme childfree licioust no ml agar penampilan tidak jelek tetap good looking estetiks biar dapet hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi cinderella fantasia dewi fortuna mimpi mermaids kaya raya~,sholat puasa nomor heydonisme childfree licioust nomor ml penampilan jelek good looking estetiks biar dapat hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi cinderella fantasia dewi fortuna mimpi mermaids kaya raya,1
81,positive,~sholat puasa no heydonisme childfree licioust no ml agar penampilan tidak jelek tetap good looking estetiks biar dapet hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi cinderella mimpi dewi fortuna fantasia mermaids kaya raya~,sholat puasa nomor heydonisme childfree licioust nomor ml penampilan jelek good looking estetiks biar dapat hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi cinderella mimpi dewi fortuna fantasia mermaids kaya raya,1
82,positive,~sholat puasa no heydonisme childfree licioust no ml agar penampilan tidak jelek tetap good looking estetiks biar dapet hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi dewi fortuna mimpi cinderella fantasia mermaids kaya raya~,sholat puasa nomor heydonisme childfree licioust nomor ml penampilan jelek good looking estetiks biar dapat hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi dewi fortuna mimpi cinderella fantasia mermaids kaya raya,1
83,positive,~sholat puasa no heydonisme childfree licioust no ml agar penampilan tidak jelek tetap good looking estetiks biar dapet hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi dewi fortuna fantasia cinderella mimpi mermaids kaya raya~,sholat puasa nomor heydonisme childfree licioust nomor ml penampilan jelek good looking estetiks biar dapat hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi dewi fortuna fantasia cinderella mimpi mermaids kaya raya,1
84,positive,~sholat puasa no heydonisme childfree licioust no ml agar penampilan tidak jelek tetap good looking estetiks biar dapet hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi cinderella fantasia mimpi dewi fortuna mermaids kaya raya~,sholat puasa nomor heydonisme childfree licioust nomor ml penampilan jelek good looking estetiks biar dapat hadiah peri kecils tinkerbells nirwana ajaibs bidadari surgawi oz edens cantik manis putih suci abadi cinderella fantasia mimpi dewi fortuna mermaids kaya raya,1
