String,Label,CaseFold,RegRemoval,SymbolsRemoval
"(positive2) Pemilik PT Perorangan tak perlu bayar pajak penghasilan (PPh) badan, tapi hanya membayar pajak PPh perorangan yg lebih kecil dari PPh badan. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2positive24",positive,"(positive2) pemilik pt perorangan tak perlu bayar pajak penghasilan (pph) badan, tapi hanya membayar pajak pph perorangan yg lebih kecil dari pph badan. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2positive24","() pemilik pt perorangan tak perlu bayar pajak penghasilan (pph) badan, tapi hanya membayar pajak pph perorangan yg lebih kecil dari pph badan. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres","() pemilik pt perorangan tak perlu bayar pajak penghasilan (pph) badan, tapi hanya membayar pajak pph perorangan yg lebih kecil dari pph badan. ptperorangan badanhukum badanusaha umkm ganjarpranowo prabowo aniesbaswedan puanmaharani pilpres"
*Aktris berinisial huruf P al* Pamela Bowie Paramitha Rusady Paula Verhoeven Paquita Peggy Melati Sukma Pevita Pearce Pingkan Mambo Poppy Sovia Puput Novel Putri Ayudya Putri Marino Putri Patricia Putri Titian Prilly Latuconsina Prisia Nasution - dan jangan lupa: Puan Maharani,positive,*aktris berinisial huruf p al* pamela bowie paramitha rusady paula verhoeven paquita peggy melati sukma pevita pearce pingkan mambo poppy sovia puput novel putri ayudya putri marino putri patricia putri titian prilly latuconsina prisia nasution - dan jangan lupa: puan maharani,*aktris berinisial huruf p al* pamela bowie paramitha rusady paula verhoeven paquita peggy melati sukma pevita pearce pingkan mambo poppy sovia puput novel putri ayudya putri marino putri patricia putri titian prilly latuconsina prisia nasution - dan jangan lupa: puan maharani,*aktris berinisial huruf p al* pamela bowie paramitha rusady paula verhoeven paquita peggy melati sukma pevita pearce pingkan mambo poppy sovia puput novel putri ayudya putri marino putri patricia putri titian prilly latuconsina prisia nasution - dan jangan lupa: puan maharani
"*Fenomena Whistle-Blower di Instansi Pemerintah, PSI: Harus Direspon Positif!*",positive,"*fenomena whistle-blower di instansi pemerintah, psi: harus direspon positif!*","*fenomena whistle-blower di instansi pemerintah, psi: harus direspon positif!*","*fenomena whistle-blower di instansi pemerintah, psi: harus direspon positif!*"
"*NAJWA SYIHAB ... mulai 2positive24 tidak perlu dan jangan pernah memilih Caleg untuk DPD, DPR, DPRD, maupun DPRRI, ingat mundur 2 Repelita, PDIP, PSI, Perindo, Golkar, dan yang dekat² koalisi dangan PDIP jangan pernah lagi dipilih caleg²nya. CARA KERJA REZIM ANAK PKI",negative,"*najwa syihab ... mulai 2positive24 tidak perlu dan jangan pernah memilih caleg untuk dpd, dpr, dprd, maupun dprri, ingat mundur 2 repelita, pdip, psi, perindo, golkar, dan yang dekat² koalisi dangan pdip jangan pernah lagi dipilih caleg²nya. cara kerja rezim anak pki","*najwa syihab ... mulai  tidak perlu dan jangan pernah memilih caleg untuk dpd, dpr, dprd, maupun dprri, ingat mundur  repelita, pdip, psi, perindo, golkar, dan yang dekat² koalisi dangan pdip jangan pernah lagi dipilih caleg²nya. cara kerja rezim anak pki","*najwa syihab ... mulai  tidak perlu dan jangan pernah memilih caleg untuk dpd, dpr, dprd, maupun dprri, ingat mundur  repelita, pdip, psi, perindo, golkar, dan yang dekat² koalisi dangan pdip jangan pernah lagi dipilih caleg²nya. cara kerja rezim anak pki"
@kring_pajak @KemenkeuRI @jokowi @KPK_RI harus nya srimulyani diperiksa pasti intruksi dia ini Uda panik dia. kurang setuju anak buahnya disalahkan semua perintah dari srimulyani. Kita akan up busuk nya SMI nanti menjelang pemilu 2positive24 jangan kaget !,negative,@kring_pajak @kemenkeuri @jokowi @kpk_ri harus nya srimulyani diperiksa pasti intruksi dia ini uda panik dia. kurang setuju anak buahnya disalahkan semua perintah dari srimulyani. kita akan up busuk nya smi nanti menjelang pemilu 2positive24 jangan kaget !,@kring_pajak @kemenkeuri @jokowi @kpk_ri harus nya srimulyani diperiksa pasti intruksi dia ini uda panik dia. kurang setuju anak buahnya disalahkan semua perintah dari srimulyani. kita akan up busuk nya smi nanti menjelang pemilu  jangan kaget !,@kring_pajak @kemenkeuri @jokowi @kpk_ri harus nya srimulyani diperiksa pasti intruksi dia ini uda panik dia. kurang setuju anak buahnya disalahkan semua perintah dari srimulyani. kita akan up busuk nya smi nanti menjelang pemilu  jangan kaget !
"[CIPTAKER TERBIT BURUH MENJERIT] Pada Selasa, 2negative Maret 2positive23, DPR RI resmi mengesahkan Rancangan Undang-Undang tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2positive22 tentang Cipta Kerja (Perppu Cipta Kerja) menjadi Undang-Undang.",positive,"[ciptaker terbit buruh menjerit] pada selasa, 2negative maret 2positive23, dpr ri resmi mengesahkan rancangan undang-undang tentang penetapan peraturan pemerintah pengganti undang-undang nomor 2 tahun 2positive22 tentang cipta kerja (perppu cipta kerja) menjadi undang-undang.","[ciptaker terbit buruh menjerit] pada selasa,  maret , dpr ri resmi mengesahkan rancangan undang-undang tentang penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  tentang cipta kerja (perppu cipta kerja) menjadi undang-undang.","[ciptaker terbit buruh menjerit] pada selasa,  maret , dpr ri resmi mengesahkan rancangan undang-undang tentang penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  tentang cipta kerja (perppu cipta kerja) menjadi undang-undang."
"[cm] Haloo ada yang mau bantu isi kuisioner untuk tugas kelompok tentang childfree? Kriterianya mahasiswa/i aja, yang bersedia reply ya, terimakasih sebelumnya",positive,"[cm] haloo ada yang mau bantu isi kuisioner untuk tugas kelompok tentang childfree? kriterianya mahasiswa/i aja, yang bersedia reply ya, terimakasih sebelumnya","[cm] haloo ada yang mau bantu isi kuisioner untuk tugas kelompok tentang childfree? kriterianya mahasiswa/i aja, yang bersedia reply ya, terimakasih sebelumnya","[cm] haloo ada yang mau bantu isi kuisioner untuk tugas kelompok tentang childfree? kriterianya mahasiswa/i aja, yang bersedia reply ya, terimakasih sebelumnya"
"[cm] haloo mentemenn, sender lagi butuh 2positivepositive responden buat isi kuesioner skipsi tentang penelitian faktor kepatuhan pajak nih. Kriterianya ada di foto yahh, yang berkenan bantu isi bisa reply nanti aku DM. Terimakasih banyak banyakk🥹🫶",positive,"[cm] haloo mentemenn, sender lagi butuh 2positivepositive responden buat isi kuesioner skipsi tentang penelitian faktor kepatuhan pajak nih. kriterianya ada di foto yahh, yang berkenan bantu isi bisa reply nanti aku dm. terimakasih banyak banyakk🥹🫶","[cm] haloo mentemenn, sender lagi butuh  responden buat isi kuesioner skipsi tentang penelitian faktor kepatuhan pajak nih. kriterianya ada di foto yahh, yang berkenan bantu isi bisa reply nanti aku dm. terimakasih banyak banyakk🥹🫶","[cm] haloo mentemenn, sender lagi butuh  responden buat isi kuesioner skipsi tentang penelitian faktor kepatuhan pajak nih. kriterianya ada di foto yahh, yang berkenan bantu isi bisa reply nanti aku dm. terimakasih banyak banyakk🥹🫶"
"[CM] temen-temen aku ada tentang sistem pajak di korea selatan, kira kira nyari jurnalnya dimana ya? tia🙏",positive,"[cm] temen-temen aku ada tentang sistem pajak di korea selatan, kira kira nyari jurnalnya dimana ya? tia🙏","[cm] temen-temen aku ada tentang sistem pajak di korea selatan, kira kira nyari jurnalnya dimana ya? tia🙏","[cm] temen-temen aku ada tentang sistem pajak di korea selatan, kira kira nyari jurnalnya dimana ya? tia🙏"
"[LUAR KAMPUS] Dipimpin langsung oleh Puan Maharani, pengesahan resmi Rancangan Undang-Undang tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2positive22 ternyata menuai banyak respon masyarakat yang bersebrangan.",positive,"[luar kampus] dipimpin langsung oleh puan maharani, pengesahan resmi rancangan undang-undang tentang penetapan peraturan pemerintah pengganti undang-undang nomor 2 tahun 2positive22 ternyata menuai banyak respon masyarakat yang bersebrangan.","[luar kampus] dipimpin langsung oleh puan maharani, pengesahan resmi rancangan undang-undang tentang penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  ternyata menuai banyak respon masyarakat yang bersebrangan.","[luar kampus] dipimpin langsung oleh puan maharani, pengesahan resmi rancangan undang-undang tentang penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  ternyata menuai banyak respon masyarakat yang bersebrangan."
~`kamulah yang memang sudah tercipta hanyalah buatku tercinta bila kamu nanti peri mermaids bidadari cinderella permaisuri aquamarines istrimevvah lesbitch frenia cantik manis putih suci ajaibs aku mau punya anak dari kamu tersayang gak mau childfree lagi nanti kita ml ya sayang~,positive,~`kamulah yang memang sudah tercipta hanyalah buatku tercinta bila kamu nanti peri mermaids bidadari cinderella permaisuri aquamarines istrimevvah lesbitch frenia cantik manis putih suci ajaibs aku mau punya anak dari kamu tersayang gak mau childfree lagi nanti kita ml ya sayang~,~`kamulah yang memang sudah tercipta hanyalah buatku tercinta bila kamu nanti peri mermaids bidadari cinderella permaisuri aquamarines istrimevvah lesbitch frenia cantik manis putih suci ajaibs aku mau punya anak dari kamu tersayang gak mau childfree lagi nanti kita ml ya sayang~,~`kamulah yang memang sudah tercipta hanyalah buatku tercinta bila kamu nanti peri mermaids bidadari cinderella permaisuri aquamarines istrimevvah lesbitch frenia cantik manis putih suci ajaibs aku mau punya anak dari kamu tersayang gak mau childfree lagi nanti kita ml ya sayang~
