,Label,String,clean_text,encoded_label
39,positif,Manusia bukan satu-satunya makhluk hidup yang bisa tertawa. Hewan seperti anjing dan kucing juga bisa tertawa.,manusia satunya makhluk hidup tertawa hewan anjing kucing tertawa,1
40,negatif,eh mana tau ni anjing lah kau,eh tahu ni anjing kamu,0
41,negatif,"Hai salam kenal (pending) | DPnya cantik, orang mana? (Pending) | Lagi ngapain nih? (Pending) | Dasar anjing!! (delivered)",hai salam kenal pending dpnya cantik orang pending ngapain nih pending dasar anjing delivered,0
42,positif,"banyak ibu2 atau bapak2 atau nenek2 yang bawa kereta bayi, tapi begitu diintip isinya ternyata anjing.",ibu2 bapak2 nenek2 bawa kereta bayi diintip isinya anjing,1
43,negatif,Kalau lu juga suka ama dia bilang. Gak usah ngejelekin nama w di depan dia. Anjing,kamu suka ama bilang tidak ngejelekin nama w anjing,0
44,negatif,demen anjing sampe kaya anjing hehe,demen anjing sampai kaya anjing hehe,0
45,positif,Hyorin memiliki hewan peliharaan yaitu anjing,hyorin memiliki hewan peliharaan anjing,1
46,negatif,MUKAA LO SAMA DIA PASSS SAMA SMAA BULUKKK JD JADIANN DEH SONO ANJING SAMA BABIII,mukaa kamu passs smaa bulukkk jadi jadiann deh sono anjing babiii,0
47,negatif,"Ga usah sok ngartis sih anjing, jangan sok cantik banyak gaya lu...",tidak sok ngartis sih anjing sok cantik gaya kamu,0
48,negatif,cwok kaya anjing gitu,cwok kaya anjing begitu,0
49,negatif,efek terlalu sering bergaul sama anjing makanya kelakuan si Nong jdi begitu.,efek bergaul anjing kelakuan si nong jadi,0
50,negatif,Dasar anjing,dasar anjing,0
51,negatif,anjing ni org mabok atau stress,anjing ni orang mabok stress,0
52,negatif,Anjing bangsat tai doang lah,anjing bangsat tai saja,0
53,positif,sebelum menjalankan mobil periksa dan astikan tidak ada hewan seperti kucing atau anjing yg berlindung di area ban atau mobil.,menjalankan mobil periksa astikan hewan kucing anjing yang berlindung area ban mobil,1
54,negatif,SI ANJING SI ANJING,si anjing si anjing,0
55,negatif,lo perek pemalan pejuh belaga pake hijab segala. Neraka buat lo anjing,kamu perek pemalan pejuh belaga pakai hijab neraka kamu anjing,0
56,positif,"Pahamilah bahwa sifat anjing sangat Luhur moral dan Beretika kepada tuannya, teman dan penjaga yg baik , tentunya Setia",pahamilah sifat anjing luhur moral beretika tuannya teman penjaga yang setia,1
57,negatif,Ok anjing anak pelacur mak sundal?I'm coming for u sooner or later.,ok anjing anak pelacur mak sundal i m coming for u sooner or later,0
58,positif,Semakin lemah seekor anjing semakin keras gonggongannya,lemah seekor anjing keras gonggongannya,1
59,negatif,"Woy tony bangsat, are you liverpool shit fan? Do you know liverpool is fuckin bullshit like city hah anjing?",woy tony bangsat are you liverpool shit fan do you know liverpool is fuckin bullshit like city hah anjing,0
60,negatif,Anjing. Daripada sama si v yang nolak lu,anjing si v tolak kamu,0
61,positif,"Beberapa hewan dianugerahi bisa melihat jin, seperti keledai dan anjing",hewan dianugerahi jin keledai anjing,1
62,positif,Ia memiliki seorang kakak perempuan dan seekor anak anjing,memiliki kakak perempuan seekor anak anjing,1
63,positif,Di beberapa negara banyak yurisdiksi yang memberlakukan apabila sengaja melukai atau membunuh anjing polisi adalah kejahatan besar,negara yurisdiksi memberlakukan sengaja melukai membunuh anjing polisi kejahatan,1
64,negatif,"Terlalu anjing untuk di ingat, terlalu bangsat untuk dikenang, terlalu sampah untuk merindu. Aku wes ora peduli ~",anjing bangsat dikenang sampah merindu wes ora peduli,0
65,negatif,Flaws on your face looks beautiful with a nice camera. Dapat camera phone baling anjing.. hmmm,flaws on your face looks beautiful with a nice camera camera phone baling anjing hmmm,0
66,negatif,Jangan jadi anjing jilat sana sini . Depan temen belaiin temen . Temen dijelekin malah eh ntahlah,anjing jilat teman belaiin teman teman dijelekin eh ntahlah,0
67,positif,"Guinness Book Of World Records, anjing terkecil yg pernah ada adlh seekor Yorkshire Terrier yg beratnya hanya 2ons pada usia 2tahun",guinness book of world records anjing terkecil yang adalah seekor yorkshire terrier yang beratnya 2ons usia 2tahun,1
68,negatif,Ada cewek cantik putih mulus sexy sayang dulunya laki haha kaga lucu anjing,cewek cantik putih mulus sexy sayang dulunya laki haha kaga lucu anjing,0
69,negatif,Sejenis anjing lah kau,sejenis anjing kamu,0
70,positif,Dokter hewan memastikan apa anjing itu sakit atau tidak melalui keadaan dan bau di dalam telinganya.,dokter hewan anjing sakit bau telinganya,1
71,negatif,"jgn pernah percaya dgn org, depan suci tapi belakang mcm anjing",jangan percaya dengan orang suci macam anjing,0
72,positif,Anjing trah Basenji adalah satu-satunya anjing yang tidak menggonggong/menyalak di dunia.,anjing trah basenji satunya anjing menggonggong menyalak dunia,1
73,negatif,Temenan : gue elu | pdkt: aku lu | jadian: pipi mimi | putus: anjing goblog,temenan saya elu pdkt kamu jadian pipi mimi putus anjing goblog,0
74,negatif,Bising ah anjing,bising ah anjing,0
75,positif,Nurani anjingmu kebanyakan makan anjing sama babi jadi tingka lakumu ngga bedah jauh bangsat,nurani anjingmu kebanyakan makan anjing babi tingka lakumu tidak bedah bangsat,1
76,negatif,Anjing lu biadal bangsat lu kira ulama seperti dirimu,anjing kamu biadal bangsat kamu ulama dirimu,0
77,negatif,Kok anjing?!,anjing,0
78,positif,Anjing laut jalannya pake perut,anjing laut jalannya pakai perut,1
79,negatif,"Sama, gue juga Tidur.. dan berharap menang.. eh anjing, taunya pas bangun kalah. Apa ga kntl!",saya tidur berharap menang eh anjing tahunya pas bangun kalah tidak kntl,0
80,positif,Dikejar anjing pagi-pagi. Nuhun.,dikejar anjing pagi pagi nuhun,1
81,negatif,Sekali2 emang kudu d kasih shock therapy itu anjing,sekali2 memang kudu di kasih shock therapy anjing,0
82,negatif,"ya biasa lah otak goblok, apa2 dikaitin sama agama, tp dia sendiri munafik anjing..",ya otak goblok apa2 dikaitin agama tetapi munafik anjing,0
83,negatif,"Morning kalian.,moga kalian baik2 aja deh Maju Lu Sini Anjing",morning semoga baik2 saja deh maju kamu anjing,0
84,negatif,Woi akun anjing palalu pitak sejak kapan ygvkaya gitu kena pasal ? Modar aja luh nyet cebong !,woi akun anjing palalu pitak ygvkaya begitu kena pasal modar saja luh nyet cebong,0
85,positif,Laika adalah seekor anjing astronot luar angkasa pertama di dunia. diluncurkan satelit bumi buatan di tahun 1957 oleh pemerintah Rusia.,laika seekor anjing astronot angkasa dunia diluncurkan satelit bumi buatan 1957 pemerintah rusia,1
86,negatif,Hipokrit anjing hahahaha,hipokrit anjing hahahaha,0
87,negatif,"Ga usah sok ngartis sih anjing, jangan sok cantik banyak gaya lu.",tidak sok ngartis sih anjing sok cantik gaya kamu,0
88,negatif,kaya anjing beraninya cuma sama cewe,kaya anjing beraninya cewek,0
89,negatif,Mantap anjing,mantap anjing,0
90,negatif,muka mcm anjing,muka macam anjing,0
91,negatif,BEGINI DOANG GW JEJERITAN ANJING,saja saya jejeritan anjing,0
92,negatif,anjing bangsat gobloq,anjing bangsat gobloq,0
93,negatif,"Hdh itu tolong yang suka ngeluh friendless, dikacangin, dsb yang memandang rendah dirinya padahal udah di jb tapi gak diwaro sadar diri kek anjing caper lo bangsat hih geli.",hdh tolong suka keluh friendless dikacangin dan sebagainya memandang rendah sudah jb tidak diwaro sadar kek anjing caper kamu bangsat hih geli,0
94,positif,"Dari semua binatang, hanya anjing dan gajah yang pintar memahami gerakan tangan manusia.",binatang anjing gajah pintar memahami gerakan tangan manusia,1
95,negatif,"Malu malu anjing itu mah, malu malu tetep jilat sana sini.",malu malu anjing mah malu malu tetap jilat,0
96,positif,Anjing menggonggong kafilah berlalu,anjing menggonggong kafilah,1
97,negatif,Babi buat aku nangis anjing,babi nangis anjing,0
98,negatif,Kepala mana kau hahahahaha. Anjing.,kepala kamu hahahahaha anjing,0
99,negatif,DI DALEM TUBUH FRANK OCEAN ADA APAANSIH ANJING SUARANYA BAGUS BANGET NANGIS 7 MALEM,dalam tubuh frank ocean apaansih anjing suaranya bagus sekali nangis 7 malam,0
100,negatif,Bangsat polisi anjing . Ya Allah tolonglah kami yg teraniaya,bangsat polisi anjing ya allah tolonglah yang teraniaya,0
101,negatif,Anjing kzl,anjing kzl,0
102,positif,"Anak-anak anjing Dalmatian terlahir murni putih polos, spot-spot berwarna hitam muncul dan berkembang seiring dengan mereka dewasa.",anak anak anjing dalmatian terlahir murni putih polos spot spot berwarna hitam muncul berkembang seiring dewasa,1
103,negatif,Anjing ya gausa denger omongan orang bgst,anjing ya gausa dengar omongan orang bgst,0
104,negatif,GEDE BANGET BARANGNYA ANJING,gede sekali barangnya anjing,0
105,negatif,kalo temen yang anjing gimana? boleh?,kalau teman anjing gimana,0
106,negatif,kaya tai congor muka lebar kaya anjing,kaya tai congor muka lebar kaya anjing,0
107,negatif,Salah colok anjing,salah colok anjing,0
108,negatif,TEMAN KAYAK ANJING YAALLAH,teman mirip anjing yaallah,0
109,negatif,kardiograf anjing!,kardiograf anjing,0
110,negatif,sumpah lupa kemarin ngapain aja anjing,sumpah lupa kemarin ngapain saja anjing,0
111,negatif,"Apanya yang perlu dibaca anjing!! Kalah kalah aja, banyak alasan bacot!!",apanya dibaca anjing kalah kalah saja alasan bacot,0
112,negatif,tapi lu mukanya kaya anjing,kamu mukanya kaya anjing,0
113,negatif,"Anjing bgst adalah omongan para cowok cowok kalau lagi kumpul, ehh gak dong tapi kebanyakan temen saya gitu, saya si iya juga",anjing bgst omongan cowok cowok kumpul ehh tidak kebanyakan teman begitu si iya,0
114,negatif,"gue ga melihara tp punya banya anjing koceng online aja pas ngeliat rasanya seneng bgt, apalagi kalo dibolehin melihara beneran ya:'",saya tidak melihara tetapi banyak anjing koceng online saja pas ngeliat senang sangat kalau dibolehin melihara benar ya,0
115,negatif,"ADA ADA AJA SUPIR ANGKOT W BLG KIRI, TP LAMA BGT GA BERENTI2 TRS MALAH 'WEY ANJING' GA WARAS BGT DAH",saja supir angkot w bilang kiri tetapi sangat tidak berenti2 terus wey anjing tidak waras sangat sudah,0
116,positif,Spngetahuan gw sih klu ada anjing d dlm drmh malaikat jg gk mau msuk.,spngetahuan saya sih kalau anjing di dalam di rumah malaikat juga tidak msuk,1
117,negatif,udah 18x saya masuk twiter game anjing,sudah 18x masuk twiter game anjing,0
118,negatif,"Anjing tukang fitnah lo, memang pendukung sama yg didukung sama aja, tukang hoax dan fitnah!!",anjing tukang fitnah kamu pendukung yang didukung saja tukang hoax fitnah,0
119,negatif,kesel banget anjing ga inget inget kemaren mikirin apa huhhhhhhhhhh gedek banget,kesal sekali anjing tidak ingat ingat kemarin memikirkan huhhhhhhhhhh gedek sekali,0
120,negatif,"Pokoknya anjing lah kalian yg pada lebay. Bodo amat yang ke makan rumor kaya gitu, BUB gua sekarang!!! Gamau punya mutual kaya gitu. Tai.",pokoknya anjing yang lebay bodo makan rumor kaya begitu bub saya tidak mau mutual kaya begitu tai,0
121,positif,Yang pasti golden retriever bukan anjing untuk jaga rumah. Dia sama siapa aja baik termasuk dng maling mungkin. Paling gonggong sebentar terus buntutnya menari2.,golden retriever anjing jaga rumah saja dengan maling gonggong sebentar buntutnya menari2,1
122,negatif,LELAKI BANGSAT LELAKI KARDUS LELAKI ANJING !!! KALOO CEWEEE LU GAK MAU GOSAHH DIPAKSAA ANJENG !!! GENUGG JUGA NIHH !!!,lelaki bangsat lelaki kardus lelaki anjing kaloo ceweee kamu tidak gosahh dipaksaa anjeng genugg nihh,0
123,negatif,Apasi anjing terserah gue ga suka unfoll bebas,apasi anjing terserah saya tidak suka unfoll bebas,0
124,negatif,sini lu gua gendong anjing,kamu saya gendong anjing,0
125,negatif,Sekali lari jantung ke mau pecah anjing,lari jantung pecah anjing,0
126,negatif,"Ngatain orang sok inggris lu men, tapi dia sendiri kalo bilang makasih tetep bilang thanks bro, ah munafik anjing",ngatain orang sok inggris kamu men kalau bilang terima kasih tetap bilang terima kasih bro ah munafik anjing,0
127,negatif,Muka lo udah kaya berak anjing Tong!,muka kamu sudah kaya berak anjing tong,0
128,negatif,Nyari mutual di twitter sama di ig ena nyari di twitter sumpa di ig udah di follbck malah di unfoll anjing emang,cari mutual twitter ig ena cari twitter sumpa ig sudah follbck unfoll anjing memang,0
129,negatif,masi pagi si anjing,masi pagi si anjing,0
130,negatif,Peler anjing... banyak bacot Lo anjing... Duel ama gw Lo anjing...,peler anjing bacot kamu anjing duel ama saya kamu anjing,0
131,positif,"Kasih gua pencerahan, apa nikmatnya lari pagi dihari minggu selain ngeliatin cewek bening bawa anjing?",kasih saya pencerahan nikmatnya lari pagi dihari minggu melihat cewek bening bawa anjing,1
132,negatif,Kenapasih org org rumah kek anjing bgt hari ini.,kenapasih orang orang rumah kek anjing sangat,0
133,negatif,Folow anjing jangan komen doang,folow anjing komen saja,0
134,negatif,"Kesel bacanya anjing, kaya baca puisi",kesal bacanya anjing kaya baca puisi,0
135,positif,"emosi nih sama kucing tetangga , hobinya mengendap2 masuk ke balkon rumah terus nyolong makanan anjing saya",emosi nih kucing tetangga hobinya mengendap2 masuk balkon rumah nyolong makanan anjing,1
136,negatif,Astaga masih pagi pay kau membuat ku ingin berkata anjing,astaga pagi pay kamu aku anjing,0
137,negatif,"Sumpah gw kesel amat dah lihat video ini, bukannya mencari pendidikan berkarakter tetapi pendidikan barbar anjing!!!",sumpah saya kesal sudah lihat video mencari pendidikan berkarakter pendidikan barbar anjing,0
138,negatif,ANJING AH KETAWAAA,anjing ah ketawaaa,0
139,negatif,ANJING TOLOL lu GOBLOG,anjing tolol kamu goblog,0
140,negatif,"Emang anjing ini, biadab kali polisi anjing",memang anjing biadab kali polisi anjing,0
141,negatif,demi tuhan lu semua berantem mulu anjing ngapain sih,tuhan kamu bertengkar terus anjing ngapain sih,0
142,negatif,Mana punya nurani mereka.. Mereka bkn manusia tp binatang!! Anjing..,nurani bukan manusia tetapi binatang anjing,0
143,negatif,"mau hijrah tp ngeliatin video polisi jd kaga jadi, pada kaya ANJING soalnya",hijrah tetapi melihat video polisi jadi kaga kaya anjing,0
144,negatif,Woy anjing anjing kurapan.. elu emang bangsat .... Mampus kau liat aja nanti,woy anjing anjing kurapan elu memang bangsat mampus kamu liat saja,0
145,positif,"pacar sama anjing beda ya, anjing gak tau sabar makanya always nungguin majikannya pulang tapi pacar capek nungguin terus orang yg disayang",pacar anjing beda ya anjing tidak tahu sabar always tunggu majikannya pulang pacar capai tunggu orang yang disayang,1
146,negatif,kalian kayak tidak pernah nonton bokep semua saja munafik lo anjing.,mirip nonton bokep munafik kamu anjing,0
147,negatif,Cuma beda 1000 anjing,beda 1000 anjing,0
148,negatif,pukimak punya india babi ni,pukimak india babi ni,0
149,negatif,Apasi anjing,apasi anjing,0
150,negatif,"Ada aja anjing yg buat gue ketawa pagi pagi gini,asu lah wkwkwk",saja anjing yang saya tertawa pagi pagi gini asu wkwkwk,0
151,positif,"pagi ini di awali dengan, dikejar anjing...",pagi awali dikejar anjing,1
152,negatif,Anjing pantesan barang yg dikirim ke gua rusak!!,anjing pantas barang yang dikirim saya rusak,0
153,negatif,PAGI PAGI DAH EMOSI ANJING,pagi pagi sudah emosi anjing,0
154,negatif,TOLOL ANJING,tolol anjing,0
155,negatif,"hahaha dan akhirnya semua orang dirumah ninggal aing yang lagi sakit, dan pergi liburan ke jogja sendiri hahaha , anjing",hahaha orang dirumah ninggal aing sakit pergi liburan jogja hahaha anjing,0
156,negatif,Sampah si anjing,sampah si anjing,0
157,negatif,Kara ingin mengumpat Anjing tai babi,kara mengumpat anjing tai babi,0
158,negatif,"Dingin bat anjing, bodo amat lah ga mandi aja gua",dingin bat anjing bodo tidak mandi saja saya,0
159,negatif,"anjing masih pagi, emosi gw bacanya bales nder: kontol lu najis anjing amit amit",anjing pagi emosi saya bacanya balas nder kontol kamu najis anjing amit amit,0
160,negatif,Malu anjing. Biasanya pake ojek tuh bayarnya pakai gopay.,malu anjing pakai ojek tuh bayarnya pakai gopay,0
161,positif,"Nitip anjing, fotonya nemu di reddit",nitip anjing fotonya temu reddit,1
162,negatif,ganggu bgt anjing pengen gue penggal,ganggu sangat anjing pengen saya penggal,0
163,negatif,"Anjing betul yg bawa mobilnya, buta matanya",anjing yang bawa mobilnya buta matanya,0
164,negatif,capek ah bangsat bikin males pagi2 aja anjing lo,capai ah bangsat bikin males pagi2 saja anjing kamu,0
165,negatif,Anjing gak main twitter kak,anjing tidak main twitter kak,0
166,negatif,Bloon anjing,bloon anjing,0
167,negatif,Anjing kau. Yang hina itu mama kau.,anjing kamu hina mama kamu,0
168,negatif,ANJING LO HAHAHAHAH,anjing kamu hahahahah,0
169,negatif,anjing ngakak,anjing terbahak-bahak,0
170,negatif,"Yeee anjing,udah livestream 1 jam lebih malah di cancel karna cuaca",yeee anjing sudah livestream 1 jam cancel karena cuaca,0
171,positif,Takut Anjing = Cynophobia,takut anjing cynophobia,1
172,negatif,"Bisalah om, kan meteka menggonggong bicaranya, gaya anjing peking",bisalah om meteka menggonggong bicaranya gaya anjing peking,0
173,negatif,dih anjing bgt setannya minta di ruqyah,dih anjing sangat setannya ruqyah,0
174,negatif,Sombong amat nih org anjing,sombong nih orang anjing,0
175,negatif,Anjing sumpahw kira td yg reply mba tara. Ganti dp om2 lagi buru,anjing sumpahw tadu yang reply mba tara ganti dp om2 buru,0
176,negatif,"culun bet w, anjing",culun bet w anjing,0
177,negatif,keripik kaca maksud gua anjing suuzon mulu lu sama gua,keripik kaca maksud saya anjing suuzon terus kamu saya,0
178,positif,"Bener banget mba, dulu aku suka gangguin anjing tetangga terus aku dikejernya",benar sekali mba suka gangguin anjing tetangga dikejernya,1
179,negatif,kalo g ada anjing sm bgst tu ky kurang aja ngetik di ini grup,kalau tidak anjing sama bgst itu ky saja ketik grup,0
180,negatif,"LGBT LGBT tai anjing, kaga ngedukung dibilang ga berperikemanusiaan. Tai lah",lgbt lgbt tai anjing kaga ngedukung dibilang tidak berperikemanusiaan tai,0
181,negatif,"loh, mulainya jam stengah 7? kek apa sih anjing sekolahku ini",loh mulainya jam stengah 7 kek sih anjing sekolahku,0
182,negatif,WKWKWKWK EMG NGAPAIN ANJING????ORG GA NGAPA2IN,wkwkwkwk memang ngapain anjing orang tidak ngapa2in,0
183,negatif,makanya anjing kek gada akhlak bgt,anjing kek tidak ada akhlak sangat,0
184,positif,Di dunia nyata juga ada tapi tokoh liciknya yang anjing bukan kucing.,dunia nyata tokoh liciknya anjing kucing,1
185,negatif,anjing rasanya mau ngespill tp males,anjing ngespill tetapi males,0
186,negatif,Anjing kenapa diem aja abangnya tolol. Udah mending kl ada ginian gausah nonton. Biar berenti abangnya jg cari nafkah dgn cara lain aja.,anjing diam saja abangnya tolol sudah mending kalau ginian tidak usah nonton biar berhenti abangnya juga cari nafkah dengan saja,0
187,negatif,Dasar anak anjing,dasar anak anjing,0
188,negatif,Mati aja lo anjing,mati saja kamu anjing,0
189,negatif,"Katanya kalo cewe cantik gak boleh ngomong kasar,berhubung aku gak cantik trobos ajalah anjing",kalau cewek cantik tidak bicara kasar berhubung tidak cantik trobos saja anjing,0
190,negatif,itu yg goodlooking tpi sok2 an insecure biar apa si anjing?,yang goodlooking tetapi sok2 an insecure biar si anjing,0
191,negatif,masih pagi tapi udah kayak anjing aja ini hidup,pagi sudah mirip anjing saja hidup,0
192,negatif,weh anjing gue diem doang disalahin,weh anjing saya diam saja disalahin,0
193,negatif,Gaada otak anjing,tidak ada otak anjing,0
194,negatif,Anjing asli goblok udh sering gua kasih tau buat jangan manggil pake real name gua masih aja. Tolol. Gabisa bgt mencoba belajar hargain orang,anjing asli goblok sudah saya kasih tahu panggil pakai real name saya saja tolol tidak bisa sangat mencoba belajar hargain orang,0
195,negatif,guys itu sctv teh nct beneran ke indo apa gimana? gua kesel banget anjing nct perform cuma satu lagu ngapain diselipin reaction artis indo ah gajelas bgt,guys sctv teh nct benar indo gimana saya kesal sekali anjing nct perform lagu ngapain diselipin reaction artis indo ah tidak jelas sangat,0
196,negatif,janji anjing babi bangsat,janji anjing babi bangsat,0
197,negatif,aku kecewa sama sctv banyak scene ga ngotaknya anjing dipikir apaan dih,kecewa sctv scene tidak ngotaknya anjing dipikir dih,0
198,negatif,"sumpah ya ini tuh mereka udah ganteng pake item2, kameranya juga ga banyak gaya, EH SI ANJING MALAH NYOROT AUDIENCE",sumpah ya tuh sudah ganteng pakai item2 kameranya tidak gaya eh si anjing nyorot audience,0
199,negatif,"Oh elu anjing, pantesan. Mana sini so nice sekali hap nya, kenalin sm gua",oh elu anjing pantas so nice hap nya kenalin sama saya,0
200,negatif,Anjing banget ya pagi2 gw care sama temen malah di sangka jelek. Makanya kalo ga kuat minum gausah minum udh mabok mah berabe njing!!!,anjing sekali ya pagi2 saya care teman sangka jelek kalau tidak kuat minum tidak usah minum sudah mabok mah berabe njing,0
201,negatif,Bodo amatlah anjing,bodo anjing,0
202,negatif,"Misalnya ada suatu kondisi dimana kita lagi khawatirin si dia, tapi dia malah seneng-seneng sama yang lain. Itu babi namanya.",kondisi di mana khawatirin si senang senang babi namanya,0
203,negatif,"tu ah, babi betul. kau pukul din",itu ah babi kamu din,0
204,negatif,ups... muke babi ngepet ditayangin lg,ups muka babi ngepet ditayangin lagi,0
205,negatif,pagi pagi dah jadi babi,pagi pagi sudah babi,0
206,negatif,BABI NGEPET !!!,babi ngepet,0
207,negatif,Babi la cok tak samaaaa,babi la cok samaaaa,0
208,negatif,DASAR BABI,dasar babi,0
209,negatif,caper tolol babi saya tunggu lu di semester tinggi,caper tolol babi tunggu kamu semester,0
210,negatif,Padahal harusnya bangga tinggal nyebutin... aneh nih otak babi,bangga tinggal nyebutin aneh nih otak babi,0
211,negatif,kukira kau rumah ternyata kandang babi,kukira kamu rumah kandang babi,0
212,negatif,"apasih ngentot kontol asu babi memek, ginian aja lu share di base. anjay.",apasih ngentot kontol asu babi memek ginian saja kamu share base anjay,0
213,negatif,Kenapa harus umur segini si babi,umur segini si babi,0
214,positif,Cinta monyet cie wkwk,cinta monyet cie wkwk,1
215,negatif,"heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol",heh kontol jan sok pemes kamu rp muka kek memek orang tua kamu kek monyet agama kamu saja agama kontol,0
216,positif,Orang melihat monyet adalah revolusi dari manusia karena monyet dan manusia dapat berjalan tegak.,orang monyet revolusi manusia monyet manusia berjalan tegak,1
217,negatif,Lo mau maenin cewe? gue kasih monyet cewe sini biar puas,kamu maenin cewek saya kasih monyet cewek biar puas,0
218,positif,Harapan km apa sih di thn Monyet Api ini? Share dong harapan km di bareng BEAR BRAND,harapan kamu sih tahun monyet api share harapan kamu bareng bear brand,1
219,positif,"Seperti sifat monyet yg gesit dan pintar,tahun monyet api bakal penuh keceriaan, optimisme dan semangat bareng BEAR BRAND",sifat monyet yang gesit pintar monyet api penuh keceriaan optimisme semangat bareng bear brand,1
220,negatif,Alay lo monyet.,alay kamu monyet,0
221,positif,Shio baekhyun itu Monyet,shio baekhyun monyet,1
222,positif,Topeng monyet ... Tontonan yang udah jarang banget . tapi peminatnya masih banyak,topeng monyet tontonan sudah jarang sekali peminatnya,1
