String,Label
"Sabar yah yu, jgn dengerin orang yg gak suka, karna udh pasti ada yg suka dan tidak, yg tidak suka kita doain yg suka alhamdulillah",tidak bully
cantiknya teteh...tetap semangat teh,tidak bully
jangan dengar omongan orang maju terus apalagi ayu semakin cantik,tidak bully
@meldi_roseloper kasian jomblo ga ada yg mau sama lo akhirnya muji diri sendiri,tidak bully
Ini bidadariii??? 😂😂😂😂😂😂😂 bidadari yg mau berkarir??? Karir apooo tohhh nduk??? Ckckckckc🙌🙌,tidak bully
kaka lu lahiran nikah siapa yg biayain bego lu psg behel dll siapa yg bye bego mami ad buktinya d rumpi lu blg cm emak elu yg d biayain pikir lu minta bukti mami udh ksh bukti dr dlu lu aj yg gk sadar p emg lu gk ad otaknya kli.,bullying
Kasian bgt di sorakin terus... bae bae lo di tombak org org 😀 pulang pulang intropeksi woy... nyampah aja di tv,bullying
@hadiedewi iyaaa gendut n leher double chin.... disorakin ama yg nonton😂😂,bullying
"Kerjaanx cuma klarifikasi doang bru klo sementara ngomong nggak jelas banget artikulasix, km ngomong kyak kumur2. Klo ngomong it yg jelas mel, bru pipimu tembem banget diliat klo di tv. Kentara banget muka km it aslix jahat & munafik pantes aja km it dibenci oleh auntymu 😛😛😛",bullying
@meldi_roseloper akun sendiri. Coment sndiri. Niat org bilang ad fans. Padahal itu akun dia juga wkwkkwkss,tidak bully
@nabel257 yaxh kaka ko percaya si. @rosameldianti_ ini ga peduli kak yang penting uang masuk apalagi dia panasan endorsean sama tetangga sebelah asal trima aja ga dicek. Meldi aja biang kerok masalah lari dari tanggungjwab apalagi endorsean. Ga bakal sanggup dia ganti kak,bullying
@meldi_roseloper najis hahahajahahaja,bullying
Mukanya...teteuuuuppp...kaya taikkk kebooo,bullying
Endorse @rosameldianti_ tolong di sampaikan ke akun @kikiprojek untuk tanggung jawab dia sudah memblokir saya setelah sy transfer. Kataya anda artists kok hasil endorse nya penipuuu .....tolong di bantu yah . Nanti sy bayar kamu juga aslakan si penipu itu kirim barangx jangan asal blok sy @rosameldianti_,tidak bully
@meldi_roseloper jangan bikin akun fans sendiri dehh gais;( miris amat wkwk,tidak bully
Muka nya di edit nyampe penyok2 gitu 😅 @rosameldianti_,tidak bully
horeeeee nggak pernah manggung manggung...,tidak bully
"Artis apaan diusir sama penonton nya... Mimpi Kali, bukti tuh kamu ditolak masyarakat Indonesia, ngak laku lah... #boikotrosameldianti",tidak bully
 Artis gadungan,bullying
Hahhaha kesian dah di undang di @rumpi_ttv cuman buat di sorakin ama penonton doang 🤣🤣🤣🤣 pengen jadi artis kaga kesampaian ya allah gw ngakak so hard liat ni babi tadi 🐷 @rosameldianti_,bullying
Haha kasian tampil d tv cuma buat d permalukan. Udah nyanyinya lipsing dia kabur musiknya masih nyala di kejar wartawan bangga padahal cuma klasifikasi. Ngakak smpe ke ubun ubun 😂,bullying
"Kasian live di rumpik ditriakin haters hahaha katanya haters ada di sosmed doang?noh dunia nyata lu lebih banyakk!! REJEKI GA KETUKER MEL,SELAMAT HIDUP DIHANTUI HATERS😛😜😜😜😜😜😜",bullying
"Lu tdi di rumpi hbis pulng nagis gk, di permalukan kyk gitu??",tidak bully
@meldi_roseloper inggih emak lampir🤣😂😂😂🤣bidadari bantet,bullying
Mana ...mana.... Video yg lg naik panggung DI USIR ama penontonx kok ga di tampilin 🤣🤣🤣🤣🤣🤣🤣,tidak bully
"Hayoh cepet ganti uang mami yg udah di kasiin ke elu, jangan ngomong doang lu .. Udah terkenal kan ? Udah jadi artis kan ? Cetek kan uang 200 juta buat lu mah .. Jangan ngomong doang yaa shayaaaang @rosameldianti_@baharsaleh_iskandar",tidak bully
Dasar muka comberan,bullying
Wkwkwkkwkw diundang cuma buat klarifikasi doang.,tidak bully
Cari sensasi lo mel😁😁😁,bullying
Klo jd gw sih malu ya. Masuk tv tp di sorakin d usir iiiuuuhhhh... mana ada artis kya gtu. Tp lu ga pnya kaca dn ga pnya malu sih,bullying
Selfie mulu gda temen ARTIS ya 😂,tidak bully
"Ciee kemarin bilangnya g dibantu, skrg mau balikin.. pembohong emg suka bicara 2x ya @rosameldianti_",tidak bully
@meldi_roseloper udah di black list semua mertua kali,tidak bully
hahahaaa .. Di usirrr penonton 😅😅😅,tidak bully
"@rosameldianti_ kasihan banget hidup mu ndok datang ke acara live mala di sorakin sama penont, lebih berharga lonte dr pada diri mu",bullying
jarinya knp jempol semua,tidak bully
Aduuuuu sayang bangettt gw nggk dtg ke mall cibubur.... gw pengen banget lempar dengan botol pas dy di panggung 😭😭😭 MAMPUS LO DI TOLAK SAMA PENONTON 🤪🤪🤪🤪🤪🤪🤪,bullying
Mel gimana rasanya lg live trus disorakin penonton gituu?? Untung gk dilempar botol kamu mel..,tidak bully
Wkwkkkkkk ni artis td yg dsorakn penonton nya y😂maluuuuuuuuuuu wkwkkk d tolak masyarakat tp nekad,bullying
"Мanтap вangeт ĸaaĸ, ѕeтelaн aĸυυ paĸee мaѕĸer payyυdarra darι @breastsup_solution.id payυdarra aĸυ naιĸ мaĸιn ιdeaal dann ĸeencang dalaaм 2 мιngggυ !!",tidak bully
@meldi_roseloperhaluuu. Ngaca pake kaca. Jangan pke air comberan. Haha,bullying
@meldi_roseloper haluuu😂,tidak bully
Enak yaa disorakin haters 😂 kemarin kata lu kalo haters ketemu lu di dunia nyata beda sama di dunia maya. Gua liat di tv sama aja kayaknya ya bahkan lebih sadissss😂😂😂😂😂😂,bullying
Mel gimana rasanya di hujat pas lagi live ??🤣🤣🤣🤣🤣,tidak bully
"@rhiz_crizthina @sita.janetsemua wanita itu cantik, masa ganteng .",tidak bully
kalo kurus pasti cantik,tidak bully
@irma_lophe_eponk terlalu baik jadinya sumbang lagu sendiri walaupun ga di bayar awkwk,tidak bully
"Ganti duit aunty jangan lupa!! Jangan cuma brani ngebacot klarifikasinya,ganti yg bener semua!!malah katanya lebih kan gantinya?buruan ditungguuuuu!!!😜😜😜😜",tidak bully
"@meldi_roseloper tadi di rumpi no secret junjungan kalian di permalukan, kok kalian ga belain si minimal foto bareng kek trs di tag, fans macam apa kalian!",tidak bully
"Hahahahaha,,,,di sorakin nih yeee di mol... Coba kl di studio... Banyak botol melayang,,, di mol banyak security,,,jd aman muka ny😂",bullying
"BIKIN MALU PENDUKUNG JOKOWI AJA LOE ,CANTIK KAGA",bullying
Lhat YouTube d acra rumpi terbru nie anak😆,tidak bully
Otw dilmpar btol penonton npa ngk dilwan .? Ktax brani ama netijen..?,tidak bully
@rhiz_crizthina pansos!!,tidak bully
BOLEH KETAWA GAK SEH AHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAAHHA,tidak bully
Oh ini ya orang yang disurakin di panggung WKWK,tidak bully
Kasian deh dipanggung suruh turunnn 😃😄😄😄😄😄🎆,tidak bully
@erlangga4367 itudah smpe mau miskin dandan terus...😂😂😂,tidak bully
"Datang ke acara buat di permalukan gtu aja kok kamu bangga mel mel , 😂😂😂😂😂 @rosameldianti_",bullying
"Gk kau masukin atw pos in ig td live acara rumpi😂, yg d teriakin d sorakin dan d suruh turun sm penontoon ???😂😂",tidak bully
Bidadari yg mau dilempar botol sama penonton iya :v,tidak bully
"Semenjak mahluk ini muncul dijkarta ada untungnya juga .secara gue jadi jarang keragunan liat aneka jenis binatang , soalnya mukanya slalu berubah ubah .ada mirip burung bangau pemakan bangke ..ada mirip kyk ular ganti kulit ..😂😂😂😂😂",bullying
"Jd bidadari abal2 doang bangga, attitude gk mencerminkan seorg bidadari",bullying
Satu lg deh kok klo lg olahraga berasa langsing aplikasi apaan seh itu modelnya bisa selangsing itu dan sebagus itu,tidak bully
"logika aja, manggung gratisan aja di upload berkali kali, apalagi klo emg bener ada job manggung beneran pasti udh full posting nya bisa 12 post dan sampe ngundang wartawan kalo dia beneran manggung 😂😂😂 @rosameldianti_ iyheee khannn zheyenggg",tidak bully
Udh pada liat belom pas dia lg di rumpi di sorakin suruh turun 🤣🤣🤣 kasian,tidak bully
Penyanyi dgn suara terbagus dan cantik yaitu kakak😁😁👍,tidak bully
@kaylaalexandra300401fotonya mbae dijernihin dulu biar gak butek kayak meldut 😂,tidak bully
"Selebgram aja masih banyak job yg dibintangi, lah kamu???? Haha lucu yaa artis bukan selebgram bukan😂",tidak bully
@kmshirena_ ngemeng apa siih lu?? Kumur2 jgn disini dikamar mandi sana 😂😂😂,tidak bully
@rosameldianti_ 🤣🤣 bidadari jokowi kw🤣🤣 menghadiri acara msyarakat juga bisa. Foto sma jkowi msyarkat juga bisa🤣 baru kaget ya dgn hal bgtuan yampun wong desa sekali anda. Hdri tim2 smua org juga bisa 🤣🤣🤣 memalukan sekali di bilang bidadari kok gk diundang di gbk malu woy🤣🤣🤣 muka model waria di bilang cntik🤣🤣. Hdiri di acar cuman mkan gratis numpang tener pdhal bukan artis kw 🤣🤣🤣,tidak bully
"Gmn live serasa uda PD banget naik ke atas panggung trs d sorakin d suruh pulang dan d kata""in ya'ampun mel lonte aja tau malu dan tau diri ini lo lebih dr lonte miris najis amit2",bullying
Kurang kerjaan karena gak ada tawaran job manggung,tidak bully
Ngakunya bidadari. Tp sekalinya foto sm pak jokowi malah kaya gitu. Ututuu😂,tidak bully
@rosameldianti_ kakakkk makasih ya saran pemutih alaminya yg waktu itu dari @topherbal_internationalsekrg aku jadi PD lagi dehh,tidak bully
Otw oprasi jakun.wkwkw,tidak bully
Bukan tumor itu mah keselek biji duren 😆😆,tidak bully
DASAR KAUM NABI LUTH,bullying
Kupikir lucinta ni jadi Thanos....trnyata jd wanita idaman.....😀👍,tidak bully
@mlsng09 aku cuk gak seneng aku cuk kalo dia di indonesia. bencongg. katala sundala,bullying
Kayanya kontol nya panjang,bullying
"Wahai netizen budiman, jangan berprasangka buruk soal jakun @lucintaluna postive thinking aja itu cuma kanker saluran nafas. Awowkowkwlwk",tidak bully
Halo cowok,tidak bully
@abang_bono mending gak jd body goal tp ori cw.. Drpd body goal tp tg:v hiyahiya kontet,tidak bully
Kalo memang ka lucita luna perempuan yaudah iyakan saja semua akan terbukti bisa sudah tiada krn harus pakai nama asli... Itu sih yg penting mudah2an dpt hidayah,tidak bully
Setan mana,bullying
Ingat kamu adalah laki laki jangan kecentilan 😬😬😀😀@lucintaluna Kata mba @ratna_pandita 😂😂,tidak bully
Tante fatah😂,tidak bully
"GK usah bawa blackpink bisa gk kak, kakak beda kelas sama mereka, dan jangan ngaku ngaku fanshion blackpink ngikutin kakak, beda kelas kak",tidak bully
Salome ? Satu lobang rame-rame?,tidak bully
Tolong ya jngn trllu pede 🔥🔥,tidak bully
Mentang mentang cewe ngumbar badan terus.,tidak bully
Percuma besar kalo buatan @clrhanna,tidak bully
Lu cowo bajing,bullying
Kok pada ribut masalah jakun ya 😀😀 cewek aja ada yg be kumis 😀😀 jgn2 para cewek iri ya kerna kalah sexsi dari LL 😀😀 ataw para cowok iri kerna ngk ada jakun nya 😂😂,tidak bully
Males gua di beranda nama dan video nya @lucintaluna mulu yg muncul.jiji gua liatnya geli apalagi pas cara bicaranya duh gua sampe gamau liatin muka nya.,bullying
Wkwkw seksi tapi laki😆..ngakak gua njerr,tidak bully
"Kak lucinta luna kalo diliat"" kaya dajal ya",bullying
Om kontol nya di buang kemana?,bullying
Laki² nya msh nampak🤭 Operasi lagi sana gih,tidak bully
Lo kan laki jancuk,bullying
Cewk kok ad jakunnya y...,tidak bully
Bang.. lucu cewe atau cowo?,tidak bully
bEncong,bullying
Makin hari makin klihatan aura laki laki nya😂😂😂😂,tidak bully
Ya allah....dunia ini tidak akan kekal pasti ada ahkir nya.yang di takut takuti ahkir nya ada juga...menunggu dazal datang...dan hari pun sudah ber ahkir.. Tidak ada kata taubat.dan tidak ada kata ampun...semogah yg ada disini selalu di sisi allah swt amin,tidak bully
Wkwkwkwkw.waria.wkwkwk,bullying
Sebenarnya mas ini jadi laki ganteng loh . Sangat di sayangkan,tidak bully
"Sibencong,,,,abang lucinta luna,,,lucinta tuna😅",bullying
kalo ngomong soal body emang aku akui mantappppp 😍,tidak bully
Laki laki munafik,bullying
Betis kamu kaya pemain bola @lucintaluna,bullying
Hahaha bancong. Wanita jadi jadian,bullying
"Cantik, tapi pas tau dulunya punya otong gajadi dah ya :)",tidak bully
Ii transgender,bullying
"Gue sebagai fans nya Blackpink, ngerasa terhina banget, masa' dia bilang dia itu Lisa Blackpink... Blackpink dari mana cobaa😂😂😂",tidak bully
Kasian ya kakak LL Komen an nya penuh Kata kata bullyan,tidak bully
"Cantik kaya barbie, yang nyinyir dan menghina kakak itu orang2 iri aja 👏😍😍😍",tidak bully
Lun lu jangan maen ke bekasi.. tar plastik lu pada meleleh.. muka lu longsor.. jd kek herp..,bullying
"Tapi sayang , laki"" 😢😢😂😂😂😂",tidak bully
Banci lu,bullying
"Dih, Lisa blackpink, lu bertengkar ama Jenny blackpink aja masih bisa bilang diri lu lisa, mereka tu sahabatan sedangkan lu? Malah bertengkar! Yg terkenal siapa duluan malah lu yg bilang Jenny ngikutin gaya lu, N.G.A.C.A.!",bullying
pondan babi kau jangan kurang ajar,bullying
Mukanya nya kayak kotak santen kara,bullying
Video klip siksa kubur nih banci?,bullying
Jangan pamer bodynya yang sexy percuma kalu semua oprasi🤣,bullying
Waria😂😂😂,bullying
@a_man_aedada sama titid udah di operasi. Tinggal jakun belon.,tidak bully
Bencong,bullying
kaukan cowok kenapa tbtb mau jadi cewek? operasi kelamin itu kan sakid.,bullying
Mas FATAH ... so imut dech km 😜,tidak bully
Halo Kak. Saya mau nanya kakak mengeklaim style nya BLACKPINK meniru gaya kakak ya??? Tunggu dulu kak jangan asal nge klaim gitu. Orang style nya BLCAKPINK lebih mewah dari pada style nya kakak. Sekian teri ma kasih,tidak bully
kakak makin cantikk......buanget,tidak bully
Mirip nicki minajj 😍🔥,tidak bully
"Huhuhu kan dinar candy ngga nyebut nama, ngga nyebut siapa apa ciri"" nya kok langsung tersungging",tidak bully
Tetenya semakin menipis perasaan wkwkw,bullying
Diwwwww ngakunya Jennie blackpink tiru dy 😂😂😂😂 kebanyakan halu deh mas,bullying
Banci ajh belagu😂😂😂dunia mao jd apa ini klau manusia ny aj kya gni😒ya allah ksh lah hambamu yg satu ini azab☺️,bullying
"Kalo udah jadi cwek gk malu y ngeliatin auratnya, bleneg emangnya kalo pake baju bawahannya sampe paha gak keliatan ap tytydnya? Gondal Gandul 😂",bullying
Modal OPERASI AJA BANGGA,bullying
Buatan smua.. Haluuu.. Ksian.. Tobat deh drpd nti susah matinya 😂😂😂😂,bullying
Insyaflah wahai manusia,tidak bully
Mungkin ini yg dinamakan banci thailand versi indonesia nya hhehehe 🙏😅,bullying
"Tobat lah nak, kiamat sudah dekat🔥",tidak bully
Niki Niki wkwkwkw sombongnya minta ampun kalo udh tua juga perawatan kaya apapun semahal apapun juga pasti keriputan makin tua. Dunia ini mana ada si yg ga fana. Duit aja fana kok ilang pasti.,tidak bully
Elu posting foto gini yang ada makin malu2in diri kamu sendiri,bullying
Dulu apus2 foto pas hijab inget ga? Hilangnya apa? Soalnya foto ga pake krudung bkin dosa lah sekarang kemana tuh omongan kmrin otaknya cuma dipake kmrin doang ya?,bullying
@susanti_derrysanti nah bener perawatan kaya apapun pasti ada menua meneot nanti kalo dia udh tua dikata2in tua dasar peot pasti juga ga suka. Malah dia giniin orang lain,bullying
@ayhu52 BERHIJAB bukan setelah kamu menjadi BAIK...TAPI setelah kamu BALIQ dan wajib bagi wanita baliq yang mengaku dirinya seorang muslimah 😊,tidak bully
Ini artis/penyanyi sih...? Kok heboh banget..,tidak bully
@nikitamirzanimawardi_17bdan asli tanpa oplas2 ya nyai 😍😍😘😘😘,tidak bully
Sip nyai jangan dengerin kata orang tapi dengerin kata hati,tidak bully
"biar kak niki suka nyeplos nyeplos...yg pasti dia gag suka setingan atau pencitraan.....yaa emg gt ada nya... klo suka nyinyir mah biar aj itu kan karakter org masing2,,kita smua jg pnyk kejelekan dan dosa kok...😊😊",tidak bully
Ya ampun. Kemaren pake jilbab skarang buka aurat lagi neng. ??,bullying
Sarang burung😀 entah brpa burung😂,bullying
Dia itu cm cari sensasi biar ttp nongol di TV,bullying
Duch keren banget fhotox mbak nikita gue suka dech..,tidak bully
Terus lah jadi diri sendiri Nyai Niki karena kamu yg tau yg terbaik buat diri km.Love u😘😘😘😘,tidak bully
Memang cantik.....,tidak bully
"Nyai plis sebagai influencer di moderate dikiiit bahasanya, terutama khawatirnya ada pemirsah abege atau anak2 yang kebetulan lewat sini. Nuhun.",tidak bully
"Iblis Laknatullah , anaknya kaya apa nnti lahir nih . bs Hidup aja syukur ntar. bnyk2 tobat iblis jelmaan manusia",bullying
Mirip agnes mo nyai kalau lagi pose begini 😍😍 @nikitamirzanimawardi_17,tidak bully
Hanya ALLAH yg tau mana yg baik dan yg buruk...jd jgn terlalu menjudge org..lebih baik byk d doakan sj yg terbaik u mba nikita..,tidak bully
K niki aku sll suport k niki....i love u so muach k sukses sll. Peluk dr sini,tidak bully
Orang2 pade bilang “orang gila” lah “islam KTP” lah. LU TETEP NONTON TETEP NGE FOLLOW. kalo bego ya bego aja plis. jangan muna’ rada geli lihatnya. ,bullying
"biasa aja gak ada cantik"" nya tuh body.. cantikan juga emak ku lah 😆😆",tidak bully
"Mnurut gua sih Itu hak kak Nikki dech! Toh dia jg gk mntk foto ma lu pd kan,..",tidak bully
"Gara"" suka liat snap nyai @nikitamirzanimawardi_17 gue jd penasaran, googling deh masalalunya seseorang itu. Ternyata nyai yg kamu katakan itu benar 😂😂",tidak bully
"kasian banget org ini, spertinya ini org ada yg sakit di otaknya.",bullying
"@adisaprinces supaya , dia tenar. Hoby amat cari sensasi ..",bullying
"Lo knp sih, jahat bgt mulutnya. Ga takut dosa? Jgn la dibiasain nyinyirin hidup org, jgn susah liat org senang, senang liat org susah.. Parah bgt hidup lo, kek ada kurang2nya yaa... Atau jgn2 lo jelmaan dajjal ya.. Jangan bangga jadi jahat... Mulut lemes.",bullying
@dindahauw3 smg allah tdk menutup mata hatinya..krna klo ad yg mengingatkan pengikutnya pd ngta2in yg koment 😂😂😂 mirissss ngeliatnya,tidak bully
Emng niki yg skrng udah buka hijab ya,tidak bully
Begini 2 dipuja2.. kaga ada apa yg lebih baik?,tidak bully
"ga ada bagus2nya kok dilihat 😅 yg lbh cantik,seksi byk d luar sna..Jdi ga usah sombong deh ntr juga tua kriput.😅",bullying
"Kalo nyai sudah keluar ayat"" nya uhh seremm bin pedes tpi ada lucu"" nya klo baca pasti senyum"" sendiri",tidak bully
Perasaan dlu ini udh dihapus sama ka niki pas berhijab .,tidak bully
"@ridha_020.907 lah emang dia salah? Serah dong cowok jg pny opini,Dia gak ngurus idup orang,cm berpendapat ttg seseorang .. Gak usah lebay emang cm cewek yg blh mengemukakan pendapat .",tidak bully
"@emiliamorisca aku tiap hari liatin story si nikita ini kak, ngakak"" aku, suka kali sm org kek gini, gak muna, keren abislah......",tidak bully
"👏👏 ada apa nyai?? Pa ada yg lebayy, 😂😂",tidak bully
Ada lo nyai temanq merasa cantik drpd yg lain ato org yg bkin kesel.ada kdang melampau kesel jd gk sadar sombong kdg diam aja.maav x maav emang cntik...tapi meninggal tabrakan.satu sisi sedih satu sisi aku ambil hikmahnya gk ada yg abadi sempurna cantik pun ada kekurangan kekurangan jg ada cantikny.semoga bs hikmah jg ya niki.dbawa sabar2 niki sayang.percaya Allah.brhijab kmu gk kuat ujian.gk brhijab kamu jg gk kuat.pngen jd tmn mmbimbing trus baik n kuat aaamiiin,tidak bully
Duh kak Niki jenglot ama emak.nya Sadako mana sanggup bikin body se oke kk..Krn mrk kbykan makan lemak²nya numpuk tertumpuk...kyk org g prnh liat makanan gtu😂😂😂😂,bullying
Knp nyai hijabny dibuka lg? Udh lbh anggun cantik bngt pake hijab deh.,tidak bully
"Kan skrang lo hmil mna bisa balikin ke begituh sombongnya kmu tuhan murka nanti mlh jdi kmu yng peyot,😂 @nikitamirzanimawardi_17",bullying
Gimana si nik biar body kaya lu gue anak dua tpi bodynya ga kaya kamu 😢keren beut,tidak bully
Sepertinya dia tidak punya baju yang layak buat di pakai 😊😊,bullying
Dasar mulutnya semua suka nyinyir?tuhh mulut dijaga yaa kayak ga perna di sekolahin😒biar jelek atau cantik yang penting akhlak lohh guysss....udah pada ngaji belom😮ngajii gihh biar pinter @nikitamirzanimawardi_17,bullying
Nyai sayaaang..iri dehh bodynya..rahasianya apa sih.??kya masih perawan gitcuu shay ...😍😍salam dariku buatmu niki😚😚,tidak bully
Cantik.. Kayak bintang Hollywood..,tidak bully
Sungguh nyaiiii wanita pemberani...👍,tidak bully
Kl berhijab dy takut mati kelaparan 😢,tidak bully
Kereen nyai,tidak bully
"Molek, kayak boneka ♥️",tidak bully
"Memang body mommy bikin pengen aja,huft slim and nice 😍 @nikitamirzanimawardi_17 jadi semangat diet💖",tidak bully
Yg ptg jgn minum baygon lagi y nyai🤣🤣🤣,tidak bully
Loveh loveh amazing nona indola ku,tidak bully
Nyai @nikitamirzanimawardi_17 diliat dari mana aja cantik😍.. yg pinter pasti bisa bedain yg terawat dan tidak terawat👍👍 kagak usah diperjelas yekaann .. dibandingin sama ketek nyai aja masih bagusan ketek nyaii😅😅😅 (habis liyat yutub kasus sinenek dan anaknya) mungkin mereka kagak punya kaca 🤭🤭,tidak bully
Sini gue entot dong @nikitamirzanimawardi_17,bullying
Islam nggak sih😡,tidak bully
Perbanyak pose nyang ginian ya say..ngamal yg banyak yah 😄,tidak bully
Itu yang bikin pengen😅😂,tidak bully
CantikNya IdolaKu Satu Ini😍😍😍,tidak bully
mba jgn gt amat😭 ingat loh lg hamil😗😗😍 ... klo anakny ky gt ntar ..malah jd boomerang ... wkt jaman sy hamil ..sy jauhi dl kta2 ksar..org2 menggunjing nnt selesai lahiran bals lg 😊,tidak bully
semangat mami,tidak bully
"Buka aurat ko d bilang cantik n keren sih?? Kmren pk hijab skrg kyk mo telanjang,,🙈🙈🙈",bullying
Hahah oh yg itu ya uh sibuk klarifikasi ama sebutin Property yg dia punya?? heran juga ya masa nenek nenek ladeni yg muda 😂😂😂 lu te o pe deh nyai ❤️,tidak bully
Cantik pun km tetap nya km di mkn ulat jika km mati..ingat kecantikanmu itu bkn mnyelamatkan kmu di dlm kubur...oohhhh cpe bget bahas2 nikita mirzani ini..gk ada frestasinya...mending idolaku ayu ting2 hmmm,bullying
"Amit amit perempuan kok kyk gtu, wiiiihhhhh",bullying
"@suci.adelia1986 tapi kan tdk munafik,,daripada tertutup tapi munafik,percuma kan👻",tidak bully
Semngt bang billy smga sllu dlm lindungn Allah amin sukses trus bang billy jngn dengrin apa kata orng,tidak bully
Bang billy kok ga ngehost di p3h udah berhari hari?jadi BT apalagi hostnya diganti jamilo males garing...bang billy bakal ngehost di p3h lagi ga?ayoo donkkk muncul lagi...,tidak bully
Sabar bro @bilsky16,tidak bully
Mang masalah apa to,tidak bully
Aminnn ya allah...,tidak bully
"Aamiin ya Rabb,,,Allah SWT bersama orng2 yang sabar,,,🤗🤗",tidak bully
